Detalle del Correo	VALIDACION 1	CODIGO 1
Buenas tardes, Quisiera saber el detalle de los sgtes. cobros en mi cuenta corriente: IVA en Comisiones/Cuentas $1563 Plan Integral Preferencial (UF 0.3600) $8227 PAC Zenit Seguros Grales S.A. - Fraud $4349  Me gustaría saber cual de ellos, puedo eliminar o bajar.	1	17
Hola, tengo mi tarjeta redbank hace mil años por lo que me gustaría cambiarla a una que sea con chip para aminorar las posibilidades de clonación al pagar c ella ¿tienen? la puedo cambiar?	1	13
Hola Luis. Estimado, este mes no me han cargado el PAC del seguro. He tenido saldo todo el mes. Favor revisar que puede haber pasado. Gracias	1	34
Mi hijo BENJAMIN ANDRES extravio su tarjeta vista, por ello solicito para el un duplicado. Gracias	1	13
Necesito transferir Urgente me encuentro fuera de Chile y debo transferir dinero para el Conservador de Bienes Raices por un valor de $11.400 Debo enviar un correo electronico a info@conservadorlaserena.cl titulado DEPOSITO o en su defecto un fax al 51-217924 acompañando copia del depósito o transferencia electronica a la cuenta N° 25-02967-4 del Banco del Santander , a nombre de Jaime Morande Miranda, Rut: 6.536.040-3.  Ademas debe adjuntar los siguientes datos : Número de solicitud: 65038.-  Y	1	24
hola consulta?  quien es el  P.A.C. ING AGENCIA DE VALORES S.A. 00000000000 $ 55.000	1	34
Caroline, quiero cerrar la cuenta y para tener la menor dificultad posible, me interesa saber en que sucursal se encuentra Ud. La razón del cierre es como le comenté alguna vez que sólo la abri para hacer un favor. Favor que me salio caro porque ayer cuando entré me di cuenta que hay un seguro de fraude que me cobran que no recuerdo haber autorizado, pero ya da lo mismo.  Muchas gracias	1	18
Hola,  Junto con saludar, quisiera saber hasta que mes es gratis la cuenta corriente.  ¿hay manera de continuar con la gratuidad??  Saludos.	1	17
Estimada, tengo 2 consultas:  1.- Necesito renovar mi tarjeta de Debito, la actual se me ha extraviado. 2.- Estoy cotizando creditos de consumo, favor indicar que datos necesito para poder cotizar, inicialmente serian $10.000.000 a 60 Meses.  Saluda atte.	1	13
Estimada:  solicito prepago credito en cuotas cargando a mi cuenta corriente el saldo respectivo.  saludos Gabriela Soto D.	1	26
Silvana  Necesito entregarle a mis hijos 3 tarjetas para que puedan usar sus cuentas (ojala donde yo deposite mensualmente)  De que manera puedo hacerlo?  Atentamente Alejandro Bozzo  mail: abozzo@alzatec.com	1	14
Hola Jazmín, me gustaría saber a qué se refiere el cargo de "Mantención de Linea de Crédito Adicional" por 1,5 UF, que aparece en mi cartola.  Quedo a la espera de tu pronta respuesta, gracias	1	6
Hola. Necesito contactar, para ver lo del cobro de mantenimiento de CTA CTE. Gracias.	1	1
Necesito saber desde cuando se activan los pagos automáticos de  mis cuentas para saber si las debo pagar o no.  Quedo atento  Claudio Silva	1	34
Estimada buenas tardes, porque se generó pago de mínimo tarjeta de crédito este mes si a finales de junio la pagué?	1	28
Estimada:  Solicito resetear clave de mi tarjeta redbank por olvido.  Gracias,	1	21
Hola Eduardo,  Me cabo de dar cuenta que la linea de sobregiro tiene pago automático y ayer hice un pago manual, por tanto el cargos esta realizado dos veces, puedes solicitar la devolución del cargo.  Gracias.	1	28
Estimado: Junto con saludar, quisiera saber como puedo cerrar mi cuenta en el banco, pagaré la linea de crédito y la tarjeta de crédito para dejar todo en cero y ahí podría hacerlo?.  De antemano gracias. Saludos.	1	18
Hola paola,  mi tarjeta se habia pagado y me llego mensaje que no estaba pagada.  puedes dejar 1 solo pago y cargarlo a la linea d ecredito pls.  slds  FBV	1	1
Tatiana   Junto con saludar, favor necesito información para saber que debo hacer para dar de baja esta cuenta corriente, idealmente que me envíes el monto que debo pagar para dejar todo saldado y proceder al termino de la cuenta.  quedo atento a tu pronta respuesta.  saludos 	1	18
Carolina,  Por favor bajar linea de crédito de $9.000.000 a $3.000.000 gracias	1	9
Hola! por un tema económico quisiera quisiera cerrar mi cuenta corriente ¿debo hacerlo por sucursal? 	1	18
Estimado Cristian necesito que gestiones el cierre de todos los productos asociados al plan de cuenta corriente, al día de hoy no existen deudas pendientes y mi cuenta corriente se encuentra sin saldo.  Quedo atento a tus comentarios y confirmación de cierre.   13.919.666-k cel 94796176	1	18
Estimada, espero estés muy bien. Perdí mi tarjeta redbanc. Ya la dejé bloqueada usando la opción que entrega la página, pero ahora debo solicitar un nuevo plástico. ¿cómo lo hago? Si es necesario, favor contactarme por correo electrónico (no el teléfono). Saludos cordiales, Sebastián Abades	1	13
Buenos días, tengo el siguiente cobro:  P.A.C. ZENIT SEGUROS GRALES S.A- FRAU por $9.447.  Por favor, señalar el porqué de dicho cargo.  Atte. Rodrigo Tapia 	1	34
HOLA ANA UNA PREGUNTA YO NO QUIERO LOS PAGOS AUTOMATICOS DE MIS CUENTAS POR FAVOR  . DIME CUANDO VENCEN LAS EN PESOS Y EN DOLARES CUANDO TENGO QUE PAGARLAS Y  SI PUEDO HACERLO ANTES DE LAS FECHAS GRACIAS CATA	1	5
Paola; por primera vez en todos estos años de ser clienta, me he visto afectada por retrazo de pagos de mis servicios. Qué serán cancelados a mediados de mes.  Y yo tengo compromisos de pago, que serán cobrados. Quiero ver la posibilidad de ampliar mi linea de crédito por un millón más, y poder cumplir por este mes con mis compromisos.  Antes nunca he molestado cómo clienta. Confio en su apoyo a la brevedad.  Atenta a tú respuesta,  Cariños  Rosemarie 	1	8
Hola, Quisiera solicitar una nueva tarjeta de debito ya que me robaron la anterior, para retirarla lo antes posible en la sucursal de Avenida La Dehesa. Gracias! Matias Krumm	1	13
estimada, agradeceré me pudieran despachar talonario de mi cuenta dolar 5-2000081-55 el día lunes 15-01-17 a dirección Av. el Bosque Norte 500 Piso 3	1	16
Hola Carolina , al hacer transferencias no me llega la clave de voz...se habrá desactivado mi numero??	1	30
Estimada María Teresa,  Junto con saludar, favor dar de baja las tarjetas de Débito y Crédito asociadas a mi cuenta, y generar unas nuevas. Las iniciales las tengo en mi casa, pero como no las activé nunca, las guarde y no las he podido encontrar.  Saludos, y gracias.  Roberto Segovia	1	13
Hola Isabel gusto de saludarte, de acuerdo a lo conversado telefónicamente te agradecería si puedes ver los cobros de los salones vip del mes abril que fue mi periodo de vacaciones. Saludos Cordiales. Luis   	1	1
Hola Grace. Necesito solicitar tarjetas adicionales de mi redcompra. Como lo hago?	1	14
Estimada Daniela. En la cuenta de mi empresa tengo un PAC para ENEL. Sin embargo, ya no arriendo esa oficina, me cambié a otra más grande.  Estuve tratando de desactivar el PAC en el sitio web, pero no pude. ¿Me puedes tender una mano? Cordiales saludos.	1	5
Viviana quiero cerrar la cuenta mañana quiero pasar por tu oficina avísame los pasos a seguir  gracias Germán Honorato	1	18
Estimada Necesito cerrar mi cuenta Qué debo hacer? Quedo atenta LRG	1	18
Estimada Lorena, simulé crédito de consumo ofertado por $5.000.000 pero me aparece como no disponible. Por error acepté aumento de cupo de línea de crédito, no lo necesito, por favor reversar. Te saluda, Daniel Leighton	1	9
DESDE JULIO ME PARECEN COBROS DE COMISIONES EN MI CUENTA CORRIENTE UNA POR PLAN INTEGRAL PREMIER Y OTRA POR IVA EN COMISIONES, HASTA DONDE TENIA ENTENDIDO MI PLAN NO TENIA COSTO POR TENER EL CREDITO HIPOTECARIO CON USTEDES.  FAVOR ME PUEDEN ACLARAR EL MOTIVO DE ESTOS COSTOS	1	1
Gina como estas,  acabo de pagar la totalidad de mi linea de credito, me gustaria pudieses bajar el cupo de esta.  Atento a tus comentarios Saludos!	1	9
Hola Pamela Queria ver la posibilidad de refinanciamiento de linea de crédito	1	98
Estimada Ingrid  Necesito de su apoyo, a la fecha he estado pagando la linea de sobregiro de la cuenta, sin embargo me falta entender cual es la tasa de interes que se genera diariamente. agradecere su apoyo.  sobre todo el monto de 5000000 que retite el 20 de octubre del 2017.  telefono: 965968746	1	2
Hola Jazmin, ¿salió humo blanco por lo de la chequera?. Si tienes un tiempo, por favor ¿me puedes llamar? Muchas gracias. Marisol	1	16
Estimada Carolina desde hace unos meses me están cobrando intereses por la linea de crédito que no he usado. Si esto continua o es una nueva política del banco, te pido que por favor canceles la linea de crédito porque es demasiada plata. Gracias, Monica 	1	1
Hola Karem, te cuento que el día 27 de Diciembre presenté carta en ADT de Concepción dando de Baja el servicio de alarmas; por lo cual, el día 28 de Diciembre 2017 eliminé el PAC ADT desde mi cuenta corriente.  Me gustaría saber si desde la fecha en que lo eliminé hasta el 15 de Enero 2018 que es el pago, ADT ya no podrá hacer uso del PAC,porque no quiero pagar la cuenta por caja y que ellos,a la vez, me cobren, y finalmente se duplique este pago que nunca me van a devolver. Espero tu respuesta.	1	34
Carla: junto con saludarte, quería comentarte que he tenido problemas con la contratación de un seguro en el Itau y quiero cerrar mi cuenta en ese banco y en el scotiabank que es donde tengo un crédito, y quiero sólo quedarme con el banco estado y el security, existe alguna posibilidad de aumentar el cupo de linea o tarjeta para asumir el pago de la linea y tarjeta del Itau, en total es 2.150.000 lo que adeudo, y quiero dejar el pago automático del crédito del scotiabank a la cuenta, se puede ve	1	8
Hola como hago para poder sacar plata del cajero? no me funciona la clave o bien la olvide!	1	21
Hola Jazmin, buenos días, te podría pedir detallado cuanto pago en comisiones y seguros en mi cuenta,  porque me gustaría saber cuanto es mensualmente el total de todo.  Quedo atenta, saludos.	1	3
Estimados:  Necesito por favor que me puedan hacer llegar una chequera nueva, ya que no tengo más cheques disponibles. gracias slds  Cristián 	1	16
Estimada Viviana  Favor de aclararme porque se me cargo a mi linea de credito el pago de mi dividendo, pues antes de informar el pago habia realizado la transferencia respectiva y se reflejaba en el sistema como ya dinero disponible. A la espera de vuestra aclaracion   Aentamente  Ernesto Cáceres	1	1
Pregunta, por qué concepto el pago de sobregiro generado ayer. Favor aclarar. Gracias.	1	1
Carolina, necesito pedir nueva tarjeta de debito y numérica, favor bloquear las anteriores que se perdieron.  Saludos,	1	13
